Unnamed: 0,title,Label
3582, The GOP Has A Plan For Obamacare: Repeal And Let The Sh*t Hit The Fan,Fake
3583, WATCH: Racist Republican Gets Her A** Handed To Her For Claiming Trump Campaign Wasn’t Racist,Fake
3584, Trump Meets Anti-Vaccination Nuts And Expresses Support For Their Dangerous Movement,Fake
3585, San Francisco Just Told Trump In No Uncertain Terms To Go F*ck Himself,Fake
3586," LEGO Donald Trump Steals Christmas, And It’s Absolutely Hilarious (VIDEO)",Fake
3587, China Fires Warning At Trump For Contacting Taiwan In Violation Of One-China Policy,Fake
3588, Trump Supporters Terrorize An American Woman On The Subway For Wearing A Hijab,Fake
3589, Trump Supporters Already Regret Voting For Him And Here’s The Hilarious Proof,Fake
3590, Mike Pence’s New DC Neighbors Are HILARIOUSLY Trolling Him For Being A Homophobic Bigot,Fake
3591, Anderson Cooper Demands Answers After Trump’s HUGE Mistake With Taiwan,Fake
3592, Obama Eyeing Digital Media Career Post-Presidency,Fake
3593, Trump Just Caused A Diplomatic Crisis With China Because He Wants To Build A Resort In Taiwan,Fake
3594," Sarah Palin Turns On Trump, Blasts His Bad ‘Crony Capitalism’ Deal With Carrier",Fake
3595, The Senate Just Quietly Passed A Measure To DESTROY Free Speech On College Campuses,Fake
3596, Laura Ingraham Wants To Know If The Military Is Paying For People To ‘Cut Their Private Parts’ Off,Fake
3597," With Just One Phone Call, Trump SHATTERS Our Relationship With China",Fake
3598, BREAKING: Dems Celebrate Progressive Win As DNC Old Guard Makes Way For New Faces (DETAILS),Fake
3599, Woman Regrets Voting For Trump After He Picks Man Who Took Her House Away As Treasury Secretary,Fake
3600, Top Trump Minion Calls For Imprisoning The Editor Of The New York Times,Fake
3601, WATCH: George Stephanopoulos GRILLS Kellyanne Conway For Defending Trump’s Lies,Fake
3602, Trump MOCKS Americans Upset Over Election In DELUSIONAL Victory Speech (VIDEO),Fake
3603, WATCH: CNN Analyst Calls Trump A ‘Son Of A Bitch’ On The Air,Fake
3604, Colbert PERFECTLY Explains The Horror Of A World Where You Can’t Block Trump (VIDEO),Fake
3605, Trump Threw Himself A Victory Party And Barely Anyone Showed Up,Fake
3606," Battleground State Recounts Are Now Getting Underway, And Trump Is Clearly PETRIFIED",Fake
3607," Trump Has 2 New Candidates For Secretary Of State, And They’re Worse Than Everyone Else Combined",Fake
3608, Dems SLAM Trump For Racist Support And Kellyanne Conway Freaks Out,Fake
3609, Why Doctor Who Made Bizarre Race Rant Against Michelle Obama Can’t Be Fired,Fake
3610," Heads Up, NRA: Data Shows Opposition To Background Checks Has Killed DOZENS Of Cops",Fake
3611, Racist Conservatives Lose Their Goddamn MINDS After Mall Of America Hires Its First Black Santa (SCREENSHOTS),Fake
3612, Trump’s Possible DHS Pick Threatened To DESTROY Medical Examiner For Exposing Sickening Truth,Fake
3613, Trump’s Pick For Treasury Tried To Take A 90-Year-Old Woman’s House Over 27 Cent Bill,Fake
3614, Trump Supporter Says Facts Don’t Exist And Gets Immediately SCHOOLED,Fake
3615, WATCH: Dumb*ss Trump Supporters Bewilder CNN Host With Delusions Of Illegal Voters,Fake
3616, The Internet Perfectly HUMILIATES Racist Breitbart For Boycotting Kellogg’s,Fake
3617, WATCH: Trevor Noah Takes White Grievance Queen Tomi Lahren To The Woodshed,Fake
3618, WATCH: Mike Pence’s Neighbors Troll Him With Gay Pride Flags On His Block In D.C.,Fake
3619, Republicans BETRAY Trump In Stunning Immigration Twist,Fake
3620, New Analysis Finds SIGNIFICANT Voting Anomalies In Wisconsin – Recount To Begin Today,Fake
3621, Michigan Has Been Drug Testing Welfare Recipients; You Won’t Believe How Many Tested Positive,Fake
3622," Newt Gingrich Puts The WEIRDEST Spin On Trump’s Incessant, Shallow Tweeting",Fake
3623, Trump Campaign Staffer Gets Convicted Of Election Fraud In Michigan,Fake
3624, Trump Set To Rake In The Dough With MASSIVE Post-Election Tax Break,Fake
3625, Kellyanne Conway Snaps At Teen Girl Who Asked Her How She Can Work With Groper Trump,Fake
3626," This Female U.S. Senator Just Said What We’re All Thinking About Trump, And It’s PERFECT (TWEET)",Fake
3627," Baltimore Teacher Breaks 7-Yr-Old’s Jaw For Being ‘Disruptive,’ Throws Child Into Wall (VIDEO)",Fake
3628, Trump Royally F*cks Veterans By Considering Sarah Palin For Secretary Of Veterans Affairs,Fake
3629, White Man Dedicates His Racist Attack To Trump While Beating Hispanic Man (IMAGE),Fake
3630, Breaking: Dems Keep Progressive Bent In All-Important Leadership Election (DETAILS),Fake
3631," Trump SURRENDERS, Admits His Business Is A Conflict of Interest",Fake
3632, Bernie Sanders Gets Brutally Honest On ‘Conan’ About Trump’s Tweets (VIDEO),Fake
3633, A Growing Coalition Of Electors Is Working Feverishly To Stop Trump,Fake
3634, Major Advertiser DROPS Breitbart For Racist Content,Fake
3635, Watch Mitt Romney Totally Humiliate Himself In Front Of Trump (VIDEO),Fake
3636," If Trump Had Known About This Nixon Era Law, He Wouldn’t Have Run For President",Fake
3637," The Ladies Of ‘The View’ Call Trump EXACTLY What He Is, And He’ll HATE It (VIDEO)",Fake
3638, George Takei BURIES Trump With Perfect Response To Tweet About Jailing Flag Burners,Fake
3639, A Trump Fanboy Just BLASTED Trump’s Tweeting: ‘It Makes You Wonder What Else He’s Doing’,Fake
3640, Trump LIVID After His Twitter Attacks HELP ‘Hamilton’ Break Broadway Sales Record (TWEETS),Fake
3641, Trump’s Attorney General Pick Thinks Kids With Disabilities Are Dragging Public Schools Down,Fake
3642, WATCH: Fox Legal Analyst DESTROYS Trump For Wanting To Punish Flag Burners,Fake
3643, WATCH: Right-Wing Pastor Compares Trump To Jesus’ Disciples,Fake
3644, WATCH: Don Lemon SCHOOLS Trump Supporter For Calling Trump’s Win A ‘Landslide’,Fake
3645," Trump Ignores Constitution, Suggests INSANE Punishment For Burning American Flag (TWEETS)",Fake
3646, NC’s GOP-Run Board Of Elections Just Smacked Pat McCrory HARD Over His Bogus ‘Fraud’ Nonsense,Fake
3647, Dylann Roof Representing Himself In Charleston Massacre Trial After Court Decides He’s Sane,Fake
3648, Actress Makes HUGE Donation That Will Drive Trump Nuts,Fake
3649, ‘The View’ DESTROYS Trump For Blaming His Unpopularity On ‘Illegal’ Voters (VIDEO),Fake
3650, Texas Elector Resigns: ‘Voting For Trump Would Bring Dishonor To God’,Fake
3651, Clinton Team Takes Aim At Trump For His Full-Blown Hysterics Over Recount (TWEETS),Fake
3652, White Trump Supporter EXPLODES In Store After Black Employees Offer Her A Bag (VIDEO),Fake
3653, This Tweetstorm PERFECTLY Explains Why Recounts Terrify Trump – It’s Not Fear He Might Have Lost,Fake
3654," Texas Congressman HILARIOUSLY Trolls Trump, Says What The ENTIRE Congress Is Thinking (TWEET)",Fake
3655, Rachel Dratch Brings Up OBVIOUS Problem With Trump No One Seems To Be Saying (TWEET),Fake
3656, Awesome New App Helps Make Sure We All Continue To Hurt The Trump Brand As Much As Possible,Fake
3657, Trump’s ‘Illegal Votes’ Lie Just Turned The Whole Recount Issue Into One Long Alex Jones Episode,Fake
3658," Patton Oswalt’s Screed Against Donald Trump Is Going Viral, And It Should",Fake
3659, Donald Trump Just Destroyed EVERY Argument Against A Recount In Just One Tweet,Fake
3660, George Takei Just B*tch-Slapped Trump After He Claimed He Won The Popular Vote (TWEETS),Fake
3661, Kellyanne Conway: Trump Is ‘Gracious’ To Not Prosecute Clinton While Recount Is Underway (VIDEO),Fake
3662," Ted Cruz Awkwardly Tries To Say Trump’s Not A Liar, But Fails Miserably (VIDEO)",Fake
3663, The Media TOTALLY Missed This Horrifying Trump Confession (VIDEO),Fake
3664, Keith Olbermann BURIES Trump For Whining About Recount Efforts,Fake
3665, Republicans Offered Condolences For Soviet Dictator Joseph Stalin When He Died,Fake
3666," FASCISM: Republicans Publish List Of ‘Anti-American’ Professors, Declare War On Higher Education",Fake
3667, WATCH: Kellyanne Conway Whines After Chuck Todd Calls Her Out For Always Blaming The Media,Fake
3668, Incompetent Trump Begged Thanksgiving Guests For Advice On Who Should Be Secretary Of State,Fake
3669, Trump Attacks Hillary In PSYCHOTIC Twitter Meltdown Over Vote Recount (TWEETS),Fake
3670, Vicious Trump Fans Send BLOODCURDLING Threats To California Mosques In Boldest Move Yet,Fake
3671, Meet The Republicans Who May Actually Help Democrats Control The Senate And Thwart Trump,Fake
3672, Google Maps HILARIOUSLY Trolls Trump – He’ll Be FURIOUS (IMAGES),Fake
3673, The Amazon Reviews Of The Trump Christmas Ornament Are The Best Thing About The Election,Fake
3674," Trump EXPLODES, Attacks Jill Stein Over ‘Ridiculous Recount’ That Could Change Election Results (TWEET)",Fake
3675, ‘Losers’: Kellyanne Conway Responds To Clinton Campaign Joining Recount Efforts,Fake
3676, WATCH: CVS Employees Hide In Back Room And Call Cops After Black Man Tries To Buy Cheese,Fake
3677, How Obama And Trump Responded To Fidel Castro’s Death Says So Much About Who These Men Are,Fake
3678, WATCH: Trump Supporter Tells Muslims That They Will Be Treated Like Hitler Treated The Jews,Fake
3679," Clinton Campaign Announces BAD News For Trump, Will Participate In Recount (TWEETS)",Fake
3680, Hateful Letter To Food Bank PROVES We Need Food Stamps (IMAGE),Fake
3681, Battleground State To Move Forward With UNPRECEDENTED Statewide General Election Recount,Fake
3682, Democratic Leadership BLASTS Trump And Republicans For Targeting Medicare,Fake
3683, What Cards Against Humanity Did With Your Black Friday Money Is The Best Thing Of The Year (VIDEO),Fake
