Unnamed: 0.1,Unnamed: 0,title,Label
30000,30000,Tokyo Governor Koike: No need for big change in monetary policy,1
30001,30001,"Australians give up 51,000 illegal guns as govt stands by tough laws",1
30002,30002,Rwandan president's challenger faces incitement charge in court,1
30003,30003,Rainbow raids: Egypt launches its widest anti-gay crackdown yet,1
30004,30004,"East Congo militia attacks U.N. base, two rebels killed",1
30005,30005,"Turkey to close Iraq border, air space, will open new gate with Baghdad",1
30006,30006,UK PM May postpones trip to China to avoid timetable clash with Trump: Sky,1
30007,30007,British PM to attend event in her local electoral district: BBC,1
30008,30008,Over $500 million in Thai bank shares transferred on behalf of king: SEC,1
30009,30009,"Zimbabwe's vice president, possible Mugabe successor, says he was poisoned",1
30010,30010,Madrid representative in Catalonia apologizes for police violence during independence vote,1
30011,30011,Keeping the competition out: Iran startups thrive despite sanctions,1
30012,30012,Former Thai PM Thaksin to be charged with royal insult: attorney general,1
30013,30013,Overcrowded Greek refugee camps ill-prepared for winter: UNHCR,1
30014,30014,"Trump expected to decertify Iran nuclear deal, official says",1
30015,30015,Iran nuclear deal should be preserved: Russia,1
30016,30016,EU Commission says all sides should stick to Iran deal terms,1
30017,30017,Catalan leader Puigdemont to speak in Catalan parliament on Tuesday,1
30018,30018,Kremlin says Russian-Saudi military cooperation not aimed at anyone,1
30019,30019,Sixteen people killed in Russia after train collides with bus,1
30020,30020,"EU drugs agency, seeking staff, warns of Brexit budget hit",1
30021,30021,Thirteen Chinese fishermen die as boat collides with oil tanker in Japan waters: state media,1
30022,30022,"Austria's conservatives, Social Democrats to sue each other ahead of vote",1
30023,30023,Denmark set to become next European country to ban burqas,1
30024,30024,ICAN chief's message to Trump and Kim: nuclear weapons are illegal,1
30025,30025,Germany lauds anti-nuclear campaign winning Nobel Peace Prize,1
30026,30026,"ICAN elated at Nobel Peace Prize, pays tribute to atom bomb survivors",1
30027,30027,Anti-nuclear campaign ICAN says Nobel Peace Prize a 'great honor',1
30028,30028,Text of Nobel Peace Prize award to anti-nuclear campaign ICAN,1
30029,30029,ICAN leader 'delighted' with Nobel Peace Prize: Nobel committee,1
30030,30030,U.S. military says 'opting out' of some exercises following Gulf rift,1
30031,30031,"U.N. braces for more Rohingya to flee, seeks access to Rakhine, Myanmar",1
30032,30032,Vatican treasurer to face March court hearing in Australia over historical sex charges,1
30033,30033,"Amsterdam mayor Van der Laan, who once snubbed Putin, dies of cancer",1
30034,30034,UK minister Gove says he hopes May will remain Prime Minister,1
30035,30035,Both pro and anti-Brexit lawmakers back ousting PM May: former Conservative chairman,1
30036,30036,"Indian military helicopter crashes near China border, seven dead",1
30037,30037,Hungary PM warns against eroding free movement for EU citizens,1
30038,30038,Guatemala prosecutors target ex-president for alleged corruption,1
30039,30039,"Stirred by same-sex marriage vote, Australia's youth gets serious",1
30040,30040,Influential Australian Senator Nick Xenophon resigns,1
30041,30041,"Spanish court suspends Catalan parliament session, throwing independence call in doubt",1
30042,30042,U.S. expulsion of Cuban diplomats includes all business officers,1
30043,30043,Russian hackers stole U.S. cyber secrets from NSA: media reports,1
30044,30044,Saudi king says consensus with Russia on broadening relations: news agency,1
30045,30045,"British PM May should call a leadership contest, former party chairman says",1
30046,30046,Pakistan's top diplomat pushes back on U.S. claims of militant support,1
30047,30047,"French, Nigerien forces operating where three U.S. soldiers killed",1
30048,30048,Ready to fight again: The homeless Rohingya still backing Myanmar insurgency,1
30049,30049,Bangladesh carving out forest land to shelter desperate Rohingya,1
30050,30050,"Theresa May should stay on as British PM, interior minister says",1
30051,30051,U.N. blacklists Saudi-led coalition for killing children in Yemen,1
30052,30052,Saudi Arabia says it dismantles Islamic State cell in Riyadh,1
30053,30053,Pakistan army says state exploring how to integrate militant-linked groups,1
30054,30054,U.S. poised to lift sanctions on Sudan: official,1
30055,30055,Hurricane relief efforts delay deployment of U.S. troops to Afghanistan,1
30056,30056,"Russia, Saudi Arabia cement new friendship with king's visit",1
30057,30057,"After British PM May's speech fiasco, her party puzzles: Who next?",1
30058,30058,Libyan sides call Boris Johnson's bodies remark 'unacceptable',1
30059,30059,Hacking attacks: a pre-election setback for Italy's 5-Star Movement,1
30060,30060,Cyprus says it agrees with Spain to postpone southern EU summit,1
30061,30061,Spain to make it easier for firms to move base from Catalonia as business alarm deepens,1
30062,30062,Russia hunting four people behind huge bomb hoax campaign,1
30063,30063,Spanish lender Sabadell to transfer legal base to Alicante - spokeswoman,1
30064,30064,Support for Austrian ruling party slips ahead of Oct. 15 vote: poll,1
30065,30065,Suicide bombing at southwest Pakistan shrine kills 18,1
30066,30066,U.S. condemns arrest of Istanbul consulate worker,1
30067,30067,"Syria fighting worst since Aleppo, air strikes deadly: aid agencies",1
30068,30068,U.S. officials cite need for caution in addressing Rohingya crisis,1
30069,30069,No decision yet on whether to go ahead with Monday's Catalan parliament session: Speaker,1
30070,30070,Libyans flee by boat amid 'terrible' violence at home,1
30071,30071,Row over Pakistani paramilitary unit fuels political confusion,1
30072,30072,Spanish markets gain as investor nerves ease over Catalonia,1
30073,30073,"Catalan uncertainty paralyzing regional investment, Spain's economy minister says",1
30074,30074,Spain PM calls on Catalan leader to drop independence plans to avoid 'greater evils',1
30075,30075,Factbox: Passport to Catalonia - how to achieve independence,1
30076,30076,"Germany drops mass U.S., UK spying probe on lack of evidence",1
30077,30077,Erdogan says Turkey will close Iraq border and air space soon,1
30078,30078,"Moscow, Riyadh work together to unite Syria's opposition: Saudi minister",1
30079,30079,Sudan regrets U.S. putting it on trafficking list before sanctions decision,1
30080,30080,Saudi Arabia agrees to buy Russian S-400 air defense system: Arabiya TV,1
30081,30081,"Two hurt after report of explosion near Glasgow, Scotland",1
30082,30082,French troops conducting operations on Niger-Mali border after attack,1
30083,30083,Late UK PM Heath had questions to answer over child sex abuse claims -police,1
30084,30084,Northern Ireland: Life inside The Fountain,1
30085,30085,Islamic State driven out of last stronghold in northern Iraq,1
30086,30086,Hamas picks new deputy chief whom Israel blames for helping spark Gaza war,1
30087,30087,Catalan standoff touches separatist hearts beyond Spain,1
30088,30088,"Belgium eyes British, U.S. jets; French offer under legal scrutiny",1
30089,30089,Woman's murder prompts mass eviction of Syrians from Lebanese town,1
30090,30090,German spy agencies want right to destroy stolen data and 'hack back',1
30091,30091,"Venezuela's unrest, food scarcity take psychological toll on children",1
30092,30092,Saudi king tells Putin Iraqi territorial integrity must be preserved,1
30093,30093,Saudi King Salman demands Iran stop meddling in Middle East: Ifax,1
30094,30094,Syrian rebels resist Jordan pressure to hand over border crossing,1
30095,30095,France offers to mediate between Baghdad and Kurds,1
30096,30096,UK top court seeks clarity on how to handle EU rulings after Brexit,1
30097,30097,Critic of Rwandan president to face criminal trial on Friday,1
30098,30098,EU executive not assessing impact of Catalan crisis on Spanish economy,1
30099,30099,"Nerve agent VX found on shirts of women accused of North Korean murder, expert says",1
30100,30100,Thai court issues second arrest warrant for fugitive former PM Yingluck,1
30101,30101,Turkish security forces kill five Kurdish militants in southwestern Turkey: NTV,1
30102,30102,Brazil's congress sets up fund to cover lack of campaign finance,1
30103,30103,Ukraine expels another Russian journalist over coverage,1
30104,30104,Turkey orders detention of 133 ministry workers in post-coup probe: Anadolu,1
30105,30105,Macron's sharp tongue throws French Twitter into a frenzy,1
30106,30106,"British PM showed guts and grace in conference speech, minister says",1
30107,30107,"After speech fiasco, UK minister says ruling Conservatives must stay cool",1
30108,30108,"British PM May is not considering resigning after ruined speech, Sky says",1
30109,30109,Danish inventor had murder videos on his computer: prosecutor,1
30110,30110,Australia creates photo ID database to help track terror suspects,1
30111,30111,Your gilded chariot awaits: Brunei sultan celebrates 50 years in power,1
30112,30112,Thousands queue to pay last respects to Thailand's late King Bhumibol,1
30113,30113,India struggles to rein in border flows of cattle and Rohingya,1
30114,30114,Russia says kills 7 Nusra Front field commanders in Syria air strike,1
30115,30115,"Talks to form NZ coalition govt start, no decision until after final count",1
30116,30116,Saudi king arrives in Moscow: Russian state TV,1
30117,30117,Chemical weapons watchdog found sarin used in March Syria attack: sources,1
30118,30118,"U.S., Nigerien troops killed in ambush on patrol in Niger",1
30119,30119,Syrian opposition says Russian jets kill civilians fleeing across Euphrates,1
30120,30120,Amnesty International urges halt to Afghan refugee returns,1
30121,30121,Three U.S. Army Special Forces soldiers killed in Niger: New York Times,1
30122,30122,Maverick state governor takes aim at Mexican presidency,1
30123,30123,Brazil's Meirelles has hired media team ahead of 2018 election: sources,1
30124,30124,Ecuador president replaces vice president jailed in Odebrecht probe,1
30125,30125,Exclusive: European envoys take fight for Iran nuclear deal to U.S. Congress,1
30126,30126,Russia throws North Korea lifeline to stymie regime change,1
30127,30127,Brazil detains Italian fugitive Battisti leaving country,1
30128,30128,Catalonia moves to declare independence from Spain on Monday,1
30129,30129,Saudi Arabia arrests 46 for stirring divisions: state media,1
30130,30130,Spain says if Catalan leader wants talks he first needs to respect the law,1
30131,30131,Austria puts the squeeze on refugees with benefit cuts,1
30132,30132,"Sudan expects U.S. to lift sanctions, conditions met: state minister",1
30133,30133,Spanish PM seeks safety in numbers before playing Catalonia trump card,1
